ax1,ax1,ax1,ax1,ax1,ax1,ax1,ax1,ax1,ax1,ax1,ax1,ax1,ax1,ax1,ax1,ax1,ax1,ax1
az1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,az1
az1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,az1
az1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,az1
az1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,az1
az1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,az1
az1,rd,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,rd,az1
az1,ax1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,ax1,az1
az1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,az1
az1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,az1
az1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,az1
ax1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,ax1
