ax1,ax1,w1,ax1,w,w,ax1,ax1,ax1,w1,ax1,ax1,ax1,w1,w1,ax1,ax1,ax1,w1
az1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,w1
w,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,w1
w,.,.,.,.,.,.,.,.,.,.,.,.,.,.,w1,w1,.,w1
w,ax1,ax1,.,.,.,.,.,.,.,.,.,.,.,.,.,ax1,ax1,w1
az1,.,ru,.,.,.,.,.,.,.,.,.,.,.,.,.,ru,.,az1
az1,.,.,.,.,.,.,.,.,.,.,w1,.,.,.,.,.,.,w
az1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,az1
w1,.,.,.,.,w1,w1,.,.,.,.,.,.,w1,w1,.,.,.,az1
w1,.,.,.,w1,w1,.,.,.,.,.,.,.,.,w1,.,.,.,az1
w1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,w1
az1,.,.,.,.,.,.,.,.,w1,w1,.,.,.,.,.,.,.,az1
