w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,w,w,.,.,.,.,.,.,.,.,.,g0,.,.,.,.,w,w,w,w
w,w,w,.,.,.,g0,k,.,.,.,.,.,.,.,.,.,w,w,w,w
w,w,w,rd,.,.,.,.,.,.,.,.,.,.,.,.,.,w,w,w,w
w,w,w,w,.,.,.,.,.,.,.,.,.,.,.,.,.,w,w,w,w
w,w,w,w,.,.,.,.,.,.,.,.,.,.,.,.,.,w,w,w,w
w,w,w,w,.,.,.,.,g0,.,.,.,.,.,.,.,.,w,w,w,w
w,w,w,w,g0,.,.,.,.,.,.,.,.,g0,k,.,g0,w,w,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
