w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,w,.,.,g0,.,.,.,.,.,.,.,.,.,.,g0,.,.,.,w,w
w,w,.,.,.,.,.,.,.,.,g0,.,.,.,.,.,.,.,.,w,w
w,w,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,w,w
w,w,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,w,w
w,w,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,w,w
w,w,g0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,w,w
w,w,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,ru,w
w,w,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,w
w,w,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,w
w,w,.,g0,.,.,.,.,.,.,.,.,.,g0,.,.,.,.,g0,.,w
w,w,.,.,.,.,.,.,g0,.,.,.,.,.,.,.,.,.,.,.,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
